Country,Adults (Thousands),Mean Wealth per Adult,Median Wealth per Adult,"Under 10,000","10,000-100,000","100,000-1 Million",Over 1 Million,wealthGini,incomeGini,Date,Year,GDP in TOT as MLN_USD,GDP in TOT as USD_CAP,INCOMEINEQ in P50P10 as RT,INCOMEINEQ in P90P10 as RT,INCOMEINEQ in P90P50 as RT,INCOMEINEQ in PALMA as RT,INCOMEINEQ in S80S20 as RT,PUBLMPEXP in EMPINCENTIVE as PC_GDP,PUBLMPEXP in INCENTIVE as PC_GDP,PUBLMPEXP in JOBCREATION as PC_GDP,PUBLMPEXP in OOWORKINCOME as PC_GDP,PUBLMPEXP in PRERET as PC_GDP,PUBLMPEXP in PUBEMPSERV as PC_GDP,PUBLMPEXP in SUPPEMP as PC_GDP,PUBLMPEXP in TOT as PC_GDP,PUBLMPEXP in TRAINING as PC_GDP,PUBUNEMPEXP in TOT as PC_GDP,SOCBENHH in INCASH as PC_GDP,SOCBENHH in INKIND as PC_GDP,SOCEXP in PRIV as PC_GDP,SOCEXP in PUB as PC_GDP,SOCEXP in PUB as USD_CAP,SOCEXP in PUBNET as PC_GDP,SOCEXP in TOTNET as PC_GDP,TAXCORP in TOT as PC_GDP,TAXCORP in TOT as PC_TOT_TAX,TAXGOODSERV in TOT as PC_GDP,TAXGOODSERV in TOT as PC_TOT_TAX,TAXINCOME in TOT as PC_GDP,TAXINCOME in TOT as PC_TOT_TAX,TAXPAYROLL in TOT as PC_GDP,TAXPAYROLL in TOT as PC_TOT_TAX,TAXPROPERTY in TOT as PC_GDP,TAXPROPERTY in TOT as PC_TOT_TAX,TAXREV in TOT as MLN_USD,TAXREV in TOT as PC_GDP,TAXSS in TOT as PC_GDP,TAXSS in TOT as PC_TOT_TAX,TAXWEDGE in TOT as PC_LC,Region,wealthTax
Ireland,3460,232952,72473,34,23.5,38.7,3.8,83,NA,2018-09-29,2018,411091.5993,84575.437304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.21290899072516,8.09181547008693,NA,14.378,NA,NA,NA,3.21,14.385,6.705,30.047,6.99,31.322,0.174,0.782,1.316,5.896,85.345,22.317,3.785,16.96,32.901447,EU,0
Israel,5405,174129,54966,17.8,48.7,31.4,2.1,76.6,34.8,2018-09-29,2018,357633.4183,40269.498744,2.6,5.3,2,1.38,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.63765027149762,12.5657552993546,NA,NA,NA,NA,NA,3.234,10.403,11.335,36.461,6.398,20.581,1.192,3.835,3.191,10.263,114.79,31.089,5.199,16.724,22.523937,NA,0
Italy,48527,217787,79239,8,47.4,41.8,2.8,68.9,33.4,2018-09-29,2018,2587031.4122,42790.060193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7304537585945,10.9363309791219,NA,27.91,NA,NA,NA,1.878,4.467,11.883,28.259,10.77,25.613,0,0,2.564,6.098,871.944,42.051,13.093,31.136,47.769159,EU,0
Japan,105108,227235,103861,5.3,43.6,48.4,2.7,63.1,NA,2018-09-29,2018,5230146.5565,41363.670243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5180785761219,12.1418577638951,NA,NA,NA,NA,NA,4.125,NA,6.227,NA,5.998,NA,0,NA,2.56,NA,NA,NA,NA,NA,32.655921,Asia,0
Korea,41381,171739,65463,2,57.8,38.3,1.8,67,NA,2018-09-29,2018,2174501.2357,42135.780723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.126,NA,NA,NA,4.472,15.734,7.468,26.275,5.233,18.414,0.084,0.295,3.3,11.61,460.42,28.422,7.219,25.399,22.991224,Asia,0
Latvia,1557,33958,7540,55,38.6,6.2,0.2,78.8,35.6,2018-09-29,2018,59057.5191,30659.322053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2895610380626,8.76578199720884,NA,16.197,NA,NA,NA,1.042,3.389,13.673,44.479,5.899,19.188,0.01,0.034,0.933,3.034,10.711,30.741,9.004,29.29,42.586822,EU,0
Lithuania,2306,24600,11161,46.7,50.1,3.2,0.1,65.5,36.9,2018-09-29,2018,100384.5111,35831.865191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8360847273336,9.60090538871439,NA,16.155,NA,NA,NA,1.531,5.06,11.35,37.508,4.077,13.472,0,0,0.303,1.002,16.112,30.261,12.742,42.107,40.661721,EU,0
Luxembourg,456,412127,164284,0,36,57.2,6.8,66.3,NA,2018-09-29,2018,71000.3172,116622.236253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9959521627882,10.1367543950534,NA,22.405,NA,NA,NA,5.935,14.818,9.634,24.053,9.511,23.745,0,0,3.92,9.786,27.828,40.053,10.964,27.373,38.234213,EU,0
Mexico,83850,20620,5784,65.7,31.8,2.3,0.1,80,47.5,2018-09-29,2018,2573847.5851,20659.867277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69141413338216,5.69689977331606,NA,NA,NA,NA,NA,3.44,NA,NA,NA,3.416,NA,NA,NA,NA,NA,NA,16.132,2.162,NA,19.748265,Americas,0
Netherlands,13260,253205,114935,15,32.6,48.8,3.6,73.6,27,2018-09-29,2018,991875.4832,57560.090716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4651057634047,16.4695835739543,NA,16.679,NA,NA,NA,3.489,9.004,11.349,29.285,7.972,20.57,0,0,1.563,4.034,354.023,38.754,13.953,36.004,37.810053,EU,0
New Zealand,3486,289798,98613,10.5,40,45.1,4.4,70.8,34.1,2018-09-29,2018,207247.2344,42621.539204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.28657666082083,11.4893493821943,NA,18.93,NA,NA,NA,5.106,15.621,12.57,38.455,12.053,36.871,0,0,1.954,5.978,67.83,32.689,0,0,18.43605,Oceania,0
Norway,4057,291103,80054,27.6,25.6,42.2,4.6,79.1,24.8,2018-09-29,2018,359298.9633,67639.112065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3176166712925,15.8039967599961,NA,24.977,NA,NA,NA,5.976,15.311,11.737,30.07,9.873,25.297,0.056,0.143,1.293,3.314,169.637,39.031,10.095,25.865,35.810379,EU,1
Poland,30626,31794,10572,48.4,47.5,3.9,0.2,72.2,27.8,2018-09-29,2018,1208903.6332,31471.211131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8649833999849,9.72793895721724,NA,21.133,NA,NA,NA,2.103,6.003,12.311,35.145,5.314,15.172,0.223,0.637,1.316,3.758,205.202,35.028,13.119,37.455,35.760358,EU,0
Portugal,8377,109362,31313,19.9,57.4,21.5,1.1,73.6,32.1,2018-09-29,2018,353153.6174,34340.770664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3836004156203,9.34438909777155,NA,22.613,NA,NA,NA,3.374,9.533,14.026,39.629,6.605,18.662,0,0,1.44,4.068,84.215,35.393,9.491,26.816,40.759037,EU,0
Slovak Republic,4339,34781,21203,19.4,76.7,3.8,0.1,49.8,NA,2018-09-29,2018,177427.7032,32579.38909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2305228493474,8.71760608371499,NA,16.953,NA,NA,NA,3.205,9.697,10.934,33.081,3.556,10.76,0,0,0.409,1.238,35.186,33.053,14.587,44.132,41.809055,EU,0
Slovenia,1676,79097,34043,13.5,69,16.9,0.6,64.6,23.400000000000002,2018-09-29,2018,80361.8576,38785.508635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3860955347515,11.0345537963253,NA,21.203,NA,NA,NA,1.928,5.3,13.815,37.976,5.315,14.611,0.047,0.13,0.601,1.652,19.727,36.379,14.543,39.976,43.21038,EU,0
Spain,37410,191177,87188,17.2,37.1,43.5,2.3,69.7,33.2,2018-09-29,2018,1894494.203,40542.184587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4087571629514,10.9233708730628,NA,23.709,NA,NA,NA,2.473,7.189,9.997,29.06,7.617,22.141,0,0,2.498,7.26,490.544,34.401,11.643,33.845,39.383498,EU,1
Sweden,7689,249765,39709,36,29.5,30,4.5,86.5,27,2018-09-29,2018,546885.1545,53746.798974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5602400603254,18.8822630712785,NA,26.055,NA,NA,NA,2.979,6.781,12.311,28.022,12.737,28.991,5.098,11.603,0.951,2.165,242.149,43.934,9.682,22.038,42.990994,EU,0
Switzerland,6811,530244,183339,13.7,23.6,52.1,10.6,74.1,NA,2018-09-29,2018,590532.5399,69357.504185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1352810394691,5.96729937600543,NA,16.023,NA,NA,NA,2.999,10.733,5.815,20.814,8.514,30.475,0,0,2.13,7.623,197.096,27.938,6.593,23.598,22.195361,EU,1
Turkey,54411,18555,2677,82,16,1.9,0.1,87.1,40.800000000000004,2018-09-29,2018,2316406.1911,28454.631556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.126,8.729,9.857,40.475,3.755,15.421,0,0,1.052,4.32,186.228,24.352,7.294,29.95,39.247185,EU,0
United Kingdom,50919,279048,97169,17.5,33.1,44.6,4.8,74.7,34.07,2018-09-29,2018,3120715.169,46973.254996999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6965206425955,12.0252072467337,NA,20.591,NA,NA,NA,2.88,8.587,10.718,31.955,9.122,27.195,0.128,0.381,4.137,12.335,947.427,33.542,6.399,19.078,30.943337,EU,0
United States,242972,403974,61667,28.4,30.8,33.6,7.1,85.2,46.42,2018-09-29,2018,20580223,62852.658229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2894447207885,6.10187897380898,NA,18.717,NA,NA,NA,1.059,4.351,4.278,17.584,9.908,40.725,0.01,0.042,2.969,12.201,5007.164,24.33,6.106,25.097,29.598968,Americas,0
Australia,18205,402603,195417,5.4,26.9,61.3,6.4,65.2,NA,2017-09-29,2017,1262007.0888,51297.139196,NA,NA,NA,NA,NA,0.02,0,0,0.61,0,0.15,0.05,0.85,0.01,NA,7.0202932082081,11.7523839384176,NA,NA,NA,NA,NA,5.278,18.498,7.42,26.004,11.502,40.312,1.381,4.841,2.951,10.344,404.009,28.532,0,0,28.616701,Oceania,0
Austria,7051,221456,57534,28.4,30.7,37.3,3.5,78.8,27.500000000000004,2017-09-29,2017,480672.4483,54652.468293,1.9,3.5,1.8,0.96,4.2,0.07,0.01,0.06,1.26,0.15,0.18,0.02,2.19,0.44,NA,18.1966728920506,12.2680121352723,NA,27.083,NA,NA,NA,2.465,5.897,11.766,28.149,9.062,21.681,2.768,6.622,0.525,1.256,174.287,41.798,14.576,34.873,47.420241,EU,0
Belgium,8820,278139,161589,17.6,19.9,58.7,3.9,63,26.3,2017-09-29,2017,577006.9812,50725.88846,2,3.4,1.7,0.9,3.9,0.22,0,0.04,1.04,0.36,0.34,0.14,2.27,0.14,NA,16.8647576916678,15.0629007396684,NA,29.179,NA,NA,NA,4.127,9.283,10.771,24.224,12.098,27.208,0.002,0.004,3.505,7.883,220.12,44.463,13.569,30.519,53.760736,EU,1
Canada,28568,259271,91058,24.1,27.8,44.4,3.8,73.5,31,2017-09-29,2017,1777241.886,48633.836154,2.1,4.1,1.9,1.14,5.1,0.01,0,0.01,0.56,0,0.12,0.01,0.78,0.06,NA,9.98091174331783,NA,NA,17.325,NA,NA,NA,3.739,11.395,7.723,23.537,11.725,35.732,0.669,2.039,3.923,11.957,541.332,32.813,4.639,14.138,30.602363,Americas,0
Chile,12997,52829,20141,36.7,55.8,7.1,0.4,78.6,46,2017-09-29,2017,437082.3498,23597.457218,2.5,7.2,2.9,2.55,10.3,0,0,0.04,0.37,0,0.03,0,0.51,0.06,0.078,3.80067659430721,NA,3.457,10.949,2282.682,NA,NA,4.25,21.133,11.02,54.8,1.942,9.658,0,0,1.082,5.382,55.865,20.109,1.458,7.251,7,Americas,0
Colombia,33239,19354,7461,59.7,37.7,2.5,0.1,74.2,49.56,2017-09-29,2017,700091.4175,14625.512565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1436112598876,4.92476134500707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Americas,0
Czech Republic,8544,51472,23083,17,75.7,6.9,0.4,64.8,24.9,2017-09-29,2017,412902.8786,38991.629903,1.7,3,1.7,0.85,3.5,0.03,0,0.04,0.16,0,0.11,0.11,0.47,0.01,NA,12.3630471698842,10.2170541007638,NA,18.998,NA,NA,NA,3.731,10.7,11.477,32.912,4.007,11.491,0,0,0.473,1.355,75.262,34.871,15.002,43.021,43.3951,EU,0
Denmark,4423,281542,87231,26,27.2,42,4.8,80.9,27.6,2017-09-29,2017,317448.099,55045.621474,NA,NA,NA,NA,NA,0.2,0,0,0.96,0.13,0.4,0.91,3.05,0.46,NA,16.2392560398671,17.5187340312366,NA,28.121,NA,NA,NA,3.273,7.161,14.527,31.783,24.197,52.941,0.25,0.547,1.786,3.908,150.791,45.705,0.048,0.106,35.805903,EU,0
Estonia,1040,43158,27522,22.5,72.2,5.1,0.2,56.4,30.9,2017-09-29,2017,44555.1091,33866.759766,2.3,4.7,2,1.1,5.2,0.03,0.01,0,0.38,0,0.14,0.17,0.8,0.07,NA,11.3177990271311,10.956507661257,NA,18.007,NA,NA,NA,1.548,4.724,13.956,42.594,5.693,17.375,0,0,0.244,0.746,8.723,32.767,11.163,34.069,39.012257,EU,0
Finland,4312,159098,57850,30.8,33.8,33.5,1.9,76.7,26.6,2017-09-29,2017,261649.1534,47501.752555,1.8,3.1,1.7,0.94,3.8,0.08,0.02,0.18,1.58,0,0.14,0.12,2.57,0.44,NA,18.8756540685571,15.0932613442065,NA,28.883,NA,NA,NA,2.736,6.317,14.24,32.878,12.628,29.156,0,0,1.545,3.567,109.327,43.313,12.058,27.839,42.971371,EU,0
France,49239,263399,119720,25.3,21.4,49.3,4,70.2,29.2,2017-09-29,2017,2997297.4766,44693.757759,1.9,3.4,1.8,1.08,4.4,0.04,0.02,0.2,1.97,0,0.24,0.09,2.85,0.28,NA,19.6072177539353,15.4836708186224,NA,31.789,NA,NA,NA,2.329,5.05,11.286,24.472,8.568,18.579,1.546,3.353,4.372,9.48,1193.106,46.117,16.773,36.371,47.09897,EU,0
Germany,67244,203946,47091,29.5,33.7,33.9,2.9,79.1,28.9,2017-09-29,2017,4381791.5962,53011.742456,2,3.7,1.8,1.05,4.5,0.03,0.01,0.01,0.75,0,0.39,0.02,1.4,0.18,NA,15.6106490312759,12.7747389052046,NA,25.051,NA,NA,NA,2.03,5.404,9.874,26.281,10.193,27.132,0,0,1.025,2.729,1387.966,37.569,14.233,37.885,49.584077,EU,0
Greece,9020,111684,54665,20.7,52.9,25.4,1,67.7,31.900000000000002,2017-09-29,2017,312842.9374,29088.947934,2.2,4.3,1.9,1.2,5.4,0.05,0,0.12,0.47,0.03,NA,0,NA,0.01,NA,19.0486395518572,8.84319871065127,NA,24.849,NA,NA,NA,1.948,5.005,15.309,39.343,6.23,16.01,0,0,3.085,7.927,79.05,38.912,11.512,29.584,40.594216,EU,0
Hungary,7846,39813,30111,11.8,83.4,4.8,0,45.3,28.9,2017-09-29,2017,289031.8758,29529.309338,1.9,3.4,1.9,1.04,4.4,0.12,0.02,0.62,0.22,0,0.07,0,1.07,0.03,NA,12.0340632283256,10.2247067938663,NA,20.18,NA,NA,NA,2.081,5.452,16.387,42.926,5.411,14.173,0.719,1.883,1.071,2.805,53.346,38.176,12.265,32.127,46.153846,EU,0
Iceland,245,587649,444999,NA,13,72,15,46.7,NA,2017-09-29,2017,19080.1373,55562.426662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.54982781464171,15.5222728779893,NA,15.944,NA,NA,NA,3.057,8.151,12.641,33.708,14.254,38.009,0.304,0.81,2.062,5.498,9.187,37.502,3.426,9.135,33.05638,NA,0
Ireland,3434,248466,84592,31.2,22.7,42.3,3.6,81.3,29.5,2017-09-29,2017,375592.6229,78211.410456,2,3.6,1.8,1.08,4.4,0.04,0,0.14,0.84,0,0.06,0.01,1.24,0.14,NA,7.75130066135967,8.18120654634349,NA,14.336,NA,NA,NA,2.759,12.251,7.305,32.437,7.026,31.197,0.145,0.644,1.286,5.711,75.431,22.521,3.85,17.094,32.580372,EU,0
Israel,5315,198406,78244,22.3,38.7,36.7,2.3,74.2,34.4,2017-09-29,2017,339528.2337,38982.658321,2.7,5.4,2,1.34,6.5,0.05,0,0,0.43,0,0.03,0.02,0.6,0.07,0.275,5.61543552618184,12.3570398787527,NA,16.032,5171.606,NA,NA,3.296,10.137,11.263,34.643,6.717,20.659,1.195,3.675,3.246,9.984,114.86,32.513,5.252,16.153,22.07336,NA,0
Italy,48544,223572,124636,21.3,22,54.1,2.7,66,33.4,2017-09-29,2017,2529502.0237,41784.603781,2.4,4.7,2,1.3,6.1,NA,NA,NA,1.21,0.01,NA,0.01,NA,NA,NA,19.6594158400288,10.8523425871626,NA,28.144,NA,NA,NA,2.104,4.994,11.976,28.426,10.823,25.688,0,0,2.597,6.164,820.408,42.133,12.772,30.314,47.66339,EU,0
Japan,105228,225057,123724,7.9,35.7,53.9,2.6,60.9,NA,2017-09-29,2017,5180326.2014,40884.616367,NA,NA,NA,NA,NA,0.06,0,0,0.15,0,0.07,0.01,0.3,0.01,NA,12.4552708988905,11.9997457397672,NA,NA,NA,NA,NA,3.714,11.839,6.581,20.979,5.904,18.821,0,0,2.57,8.194,1530.992,31.37,12.523,39.919,32.515095,Asia,0
Korea,41007,160609,67934,20,40.5,37.8,1.7,70,35.5,2017-09-29,2017,2105893.1486,41000.995844,2.8,5.8,2.1,1.44,7,0.04,0.03,0.16,0.32,0,0.04,0.02,0.64,0.03,0.303,5.49520818470427,8.16758683043241,NA,10.628,3824.1,NA,NA,3.831,14.243,7.459,27.728,4.804,17.857,0.08,0.296,3.144,11.688,411.689,26.9,6.916,25.711,22.504245,Asia,0
Latvia,1577,27631,17828,29,68.6,2.2,0.1,53.6,35.5,2017-09-29,2017,55332.6,28504.870548,2.6,5.5,2.1,1.44,6.7,0.04,0,0.02,0.4,0,0.05,0,0.59,0.07,NA,10.4197977500643,8.78130705568618,NA,15.792,NA,NA,NA,1.581,5.08,13.395,43.043,6.574,21.125,0.011,0.036,1.03,3.309,9.483,31.119,8.358,26.857,42.741284,EU,0
Lithuania,2316,27507,17931,27.3,70.4,2.1,0.1,51.6,37.4,2017-09-29,2017,95660.0013,33821.206283,2.5,5.6,2.2,1.61,7.4,0.14,0,0.01,0.24,0,0.05,0.02,0.54,0.08,NA,10.9480703026751,9.43278855699185,NA,15.816,NA,NA,NA,1.495,5.064,11.38,38.541,3.855,13.055,0,0,0.306,1.035,14.043,29.528,12.252,41.493,41.074653,EU,0
Luxembourg,450,313687,167664,17,20,58.8,4.2,68.1,32.7,2017-09-29,2017,67280.186,112701.659716,2.2,4.5,2.1,1.22,5.6,0.4,0,0.16,0.47,0.13,0.06,0.01,1.41,0.19,NA,15.1591992468222,10.0062720716125,NA,22.566,NA,NA,NA,5.247,13.555,9.411,24.312,9.143,23.621,0,0,3.735,9.649,24.129,38.708,11.075,28.612,37.792258,EU,0
Mexico,82105,22346,8737,54.5,42.6,2.8,0.1,73.2,NA,2017-09-29,2017,2470075.578,20022.661214,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,2.56123562481321,5.78430135588522,NA,NA,NA,NA,NA,3.509,21.808,5.853,36.377,3.44,21.38,0.384,2.384,0.309,1.923,186.902,16.09,2.134,13.26,20.366124,Americas,0
Netherlands,13193,204045,94373,13.9,37.4,46.1,2.5,73,27.1,2017-09-29,2017,948181.866,55348.891835,NA,NA,NA,NA,NA,0.04,0,0.01,1.51,0,0.22,0.31,2.15,0.07,NA,10.8800968914009,16.3894405713775,NA,16.999,NA,NA,NA,3.277,8.468,11.276,29.136,8.341,21.553,0,0,1.556,4.021,322.024,38.701,13.807,35.675,37.395055,EU,0
New Zealand,3444,337441,147593,18,24.7,51.4,5.9,72.3,34.300000000000004,2017-09-29,2017,198913.5076,41556.325496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.269,9.13644224915601,10.982376584205,0.705,18.573,6536.706,NA,NA,4.703,14.66,12.329,38.433,12.124,37.794,0,0,1.919,5.982,65.838,32.081,0,0,18.134095,Oceania,0
Norway,4013,320475,130543,28.2,16.8,50,5,80.5,26.200000000000003,2017-09-29,2017,332135.4514,62940.203039,1.9,3.1,1.7,0.9,4,0.11,0,0,0.49,0,0.15,0.1,0.96,0.11,NA,14.9716785489512,16.1613130131803,NA,25.336,NA,NA,NA,4.861,12.529,11.982,30.885,10.261,26.45,0.057,0.148,1.297,3.343,154.995,38.795,10.337,26.646,35.952164,EU,1
Poland,30627,28057,10302,48.7,48.1,2.9,0.2,71.7,27.500000000000004,2017-09-29,2017,1145045.1205,29801.809392,2,3.6,1.8,0.95,4.2,0.1,0.04,0.02,0.1,0.1,0.08,0.17,0.62,0.01,NA,15.076876830685,9.68984357209965,NA,20.959,NA,NA,NA,1.928,5.649,12.596,36.9,4.983,14.596,0.225,0.66,1.362,3.991,179.684,34.137,12.817,37.546,35.657534,EU,0
Portugal,8383,89437,38242,25.8,55,18.4,0.8,70.9,32,2017-09-29,2017,340796.4677,33086.07203,2,4.2,2,1.22,5.2,0.15,0,0.03,0.67,0.36,0.05,0.01,1.44,0.16,NA,16.5699771892644,9.32121207543603,NA,23.711,NA,NA,NA,3.227,9.371,13.763,39.961,6.481,18.818,0,0,1.358,3.944,75.557,34.441,9.223,26.78,41.393008,EU,0
Slovak Republic,4335,27842,20717,18,79.5,2.5,0,46.3,23.2,2017-09-29,2017,168112.7631,30912.235797,NA,NA,NA,NA,NA,0.11,0.01,0.01,0.2,0.13,0.04,0.04,0.55,0.01,NA,13.5690766073672,8.74301844888462,NA,17.345,NA,NA,NA,3.448,10.415,10.97,33.138,3.365,10.165,0,0,0.425,1.284,31.663,33.104,14.526,43.88,41.690478,EU,0
Slovenia,1676,62920,42195,19,62.5,18.3,0.2,55.1,24.3,2017-09-29,2017,75734.7113,36660.871569,1.9,3.1,1.7,0.81,3.6,0.06,0,0.07,0.43,0,0.08,0,0.68,0.03,NA,15.8920847628028,11.056234151657,NA,21.43,NA,NA,NA,1.776,4.897,14.014,38.633,5.148,14.192,0.05,0.137,0.643,1.773,17.583,36.275,14.512,40.005,42.907803,EU,0
Spain,37389,129578,63369,18.9,48.2,31.7,1.1,65.7,33.300000000000004,2017-09-29,2017,1843950.8648,39626.846666,2.4,4.8,2,1.27,6,0.08,0.13,0.1,1.49,0.02,0.15,0.1,2.19,0.11,NA,15.2637368122987,10.8792833671005,NA,23.854,NA,NA,NA,2.303,6.836,9.886,29.349,7.343,21.8,0,0,2.521,7.486,442.844,33.683,11.455,34.01,39.258454,EU,1
Sweden,7650,260667,45235,17.4,52.5,25.7,4.4,83.4,28.199999999999996,2017-09-29,2017,530433.0728,52739.003235,2,3.3,1.7,1.02,4.2,0.48,0.12,0,0.53,0,0.28,0.24,1.78,0.13,NA,12.80156051249,19.0184862907662,NA,26.143,NA,NA,NA,2.809,6.329,12.342,27.807,13.286,29.933,5.093,11.474,0.993,2.237,237.781,44.385,9.677,21.803,42.933366,EU,0
Switzerland,6753,537599,229059,10.4,17.4,63.3,8.8,69.4,30.1,2017-09-29,2017,567448.4312,67139.04087,NA,NA,NA,NA,NA,0.08,0,0,0.67,0,0.11,0.24,1.28,0.18,NA,10.3657730545425,6.03010949679633,NA,16.124,NA,NA,NA,3.057,10.749,5.992,21.065,8.608,30.264,0,0,2.15,7.558,193.112,28.444,6.7,23.554,22.072594,EU,1
Turkey,53248,20061,5087,75.6,22.5,1.7,0.1,81.8,43,2017-09-29,2017,2265513.4701,28208.552414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.643748810962,9.31985775272758,NA,NA,NA,NA,NA,1.703,6.841,10.824,43.477,3.618,14.533,0,0,1.122,4.507,211.975,24.896,7.298,29.314,38.990292,EU,0
United Kingdom,50617,278038,102641,18.9,30.6,46.1,4.3,73.5,35.699999999999996,2017-09-29,2017,3037044.9447,45987.961004,2.1,4.3,2,1.48,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8273993841674,12.1409473626794,NA,20.753,NA,NA,NA,2.811,8.451,10.6,31.864,9.053,27.214,0.09,0.27,4.174,12.547,878.04,33.267,6.372,19.153,30.990924,EU,0
United States,240772,388585,55876,28.5,31.4,33.7,6.4,85.9,39,2017-09-29,2017,19519424,59984.093912,2.7,6.2,2.3,1.76,8.4,0.01,0,0,0.14,0,0.02,0.03,0.24,0.03,NA,14.4565627653767,6.13644234583971,NA,18.886,NA,NA,NA,1.729,6.458,4.201,15.687,10.377,38.749,0.011,0.039,4.292,16.026,5227.338,26.78,6.171,23.041,31.775433,Americas,0
Australia,17115,375573,162815,11.1,33.2,49.6,6.2,68.2,33,2016-09-29,2016,1216419.3956,50284.172793,2.1,4.3,2.1,1.26,5.5,0.01,0,0.01,0.63,0,0.15,0.06,0.86,0.01,0.645,7.38875056913962,11.7843512261947,4.851,17.808,8029.139,NA,NA,4.547,16.472,7.477,27.086,11.251,40.76,1.349,4.886,2.98,10.796,362.049,27.604,0,0,28.570916,Oceania,0
Austria,6837,206002,52519,28.9,31.7,36.3,3.2,78.5,28.4,2016-09-29,2016,459839.4543,52614.377745,2,3.5,1.8,1,4.5,0.05,0,0.06,1.36,0.14,0.17,0.02,2.26,0.45,NA,18.6821842088817,12.3835029141222,NA,27.837,NA,NA,NA,2.355,5.618,11.834,28.234,9.053,21.599,2.92,6.966,0.548,1.308,165.116,41.913,14.549,34.711,47.331796,EU,0
Belgium,8473,270613,154815,18.4,20.8,57.2,3.6,64.1,26.6,2016-09-29,2016,550808.6037,48610.767252,2,3.3,1.7,0.92,3.9,0.2,0,0.05,1.11,0.46,0.2,0.13,2.3,0.15,NA,16.938617408179,15.1323556107404,NA,29.206,NA,NA,NA,3.443,7.846,10.764,24.529,12.144,27.675,0.002,0.004,3.499,7.973,206.045,43.881,13.644,31.092,53.945234,EU,1
Canada,27995,270179,96664,25,25.7,45.3,4,73.2,30.7,2016-09-29,2016,1678387.0582,46480.50132,2.2,4.1,1.9,1.13,5.1,0.01,0,0.01,0.64,0,0.13,0.01,0.89,0.07,NA,9.97770959277426,NA,NA,17.436,NA,NA,NA,3.733,11.254,7.647,23.051,11.862,35.758,0.68,2.05,4.002,12.066,507.623,33.172,4.879,14.708,31.373907,Americas,0
Chile,12938,46543,11590,46.6,47.1,5.8,0.4,80.5,NA,2016-09-29,2016,413528.2448,22624.825752,NA,NA,NA,NA,NA,0,0,0.05,0.39,0,0.03,0,0.56,0.09,0.02,3.88899409657733,NA,3.508,11.023,2294.815,NA,NA,4.217,20.94,10.993,54.585,1.765,8.763,0,0,1.022,5.074,50.447,20.139,1.441,7.153,7,Americas,0
