"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCBENHH","INCASH","PC_GDP","A","1970",3.47521952671528,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1971",3.66873482600486,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1972",4.15100408064808,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1973",4.1760684895142,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1974",5.03386829309424,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1975",5.76807554605089,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1976",6.594916418594,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1977",7.04352881746871,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1978",6.75875095921138,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1979",6.45350870014804,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1980",6.36313444019403,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1981",6.35142984044552,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1982",7.23103030815672,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1983",7.43750527233361,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1984",7.26682328107179,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1985",7.03965570242853,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1986",6.88185140073082,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1987",6.67541449257464,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1988",6.17335680527629,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1989",6.16929343452477,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1990",7.02763475986663,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1991",7.97225641511221,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1992",8.23902207988453,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1993",8.47544964434244,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1994",8.22274838393989,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1995",8.26991711508172,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1996",8.26953795397368,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1997",7.87948246632783,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1998",7.78242367461593,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1999",7.90324263906262,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2000",8.41552422042759,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2001",8.2403384540731,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2002",7.98903815421494,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2003",8.39520625662717,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2004",8.07202307965016,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2005",7.78750137992634,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2006",7.53216705795086,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2007",7.37688278308317,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2008",8.9038959802245,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2009",7.68115240341497,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2010",7.51753114098186,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2011",7.6156851342285,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2012",7.76016772689313,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2013",7.93935678404534,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2014",8.02357009505719,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2015",7.96031104693523,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2016",7.38875056913962,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2017",7.0202932082081,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2018",6.65699146384175,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1970",6.68254204494716,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1971",7.14863771243593,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1972",7.4456751160874,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1973",7.53583753650119,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1974",8.74532729981169,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1975",9.92503063651873,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1976",9.6488123737952,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1977",9.71130109894299,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1978",9.48501943720644,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1979",9.08847444261771,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1980",9.62653310722877,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1981",9.9177742093455,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1982",10.1915340167163,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1983",10.1050717506022,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1984",10.4718860119504,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1985",11.1239624961574,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1986",10.8985397678749,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1987",10.200376671092,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1988",9.72598229809186,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1989",9.65891223335108,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1990",10.3298606922442,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1991",10.8242590663763,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1992",10.7079546223415,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1993",10.4423551336856,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1994",10.5067665250613,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1995",10.4331130271286,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1996",10.2324727035014,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1997",10.3719284403763,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1998",11.0403924268836,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1999",11.1169930379833,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2000",10.9416707088414,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2001",10.8617400262246,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2002",10.8567219336796,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2003",10.9756933193502,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2004",11.1119061635719,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2005",10.9478839456861,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2006",10.6536670123956,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2007",10.7230617516327,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2008",11.0723765915827,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2009",11.3027787192085,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2010",11.3380986600519,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2011",11.0994105870254,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2012",11.0386140270141,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2013",10.9301670910149,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2014",11.2784000502277,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2015",11.7106256706453,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2016",11.7843512261947,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2017",11.7523839384176,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2018",11.8027717093783,
"AUT","SOCBENHH","INCASH","PC_GDP","A","1995",19.8756573499331,
"AUT","SOCBENHH","INCASH","PC_GDP","A","1996",19.795593184387,
"AUT","SOCBENHH","INCASH","PC_GDP","A","1997",19.1688741258652,
"AUT","SOCBENHH","INCASH","PC_GDP","A","1998",18.810082842785,
"AUT","SOCBENHH","INCASH","PC_GDP","A","1999",18.8604418000675,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2000",18.6776918003611,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2001",18.573189044983,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2002",18.7918180510289,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2003",19.0177443989855,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2004",18.6915144346405,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2005",18.3083005047761,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2006",17.9569154347185,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2007",17.3881516231699,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2008",17.5804038038832,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2009",19.0351703881927,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2010",19.1872844517599,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2011",18.509463137009,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2012",18.6649278475423,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2013",19.0424784400121,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2014",19.1049079462351,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2015",18.9132848149107,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2016",18.6821842088817,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2017",18.1966728920506,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2018",17.8778961315017,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2019",17.8187258101455,
"AUT","SOCBENHH","INKIND","PC_GDP","A","1995",11.3896055546512,
"AUT","SOCBENHH","INKIND","PC_GDP","A","1996",11.3829241975825,
"AUT","SOCBENHH","INKIND","PC_GDP","A","1997",11.7149690107912,
"AUT","SOCBENHH","INKIND","PC_GDP","A","1998",11.84679990146,
"AUT","SOCBENHH","INKIND","PC_GDP","A","1999",11.9322054418486,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2000",11.6573336164708,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2001",11.6056640813825,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2002",11.7650006029059,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2003",11.9097804793411,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2004",11.6887078124679,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2005",11.5347226368526,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2006",11.5921231239344,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2007",11.5141009001508,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2008",11.7893228567312,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2009",12.4855395366305,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2010",12.4292083884427,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2011",12.148590201241,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2012",12.1940841989143,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2013",12.3226283087103,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2014",12.3301949802379,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2015",12.3560970000136,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2016",12.3835029141222,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2017",12.2680121352723,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2018",12.220749505447,
"AUT","SOCBENHH","INKIND","PC_GDP","A","2019",12.2151998009244,
"BEL","SOCBENHH","INCASH","PC_GDP","A","1995",15.6472710463392,
"BEL","SOCBENHH","INCASH","PC_GDP","A","1996",15.8239110053755,
"BEL","SOCBENHH","INCASH","PC_GDP","A","1997",15.596727375765,
"BEL","SOCBENHH","INCASH","PC_GDP","A","1998",15.3247861998643,
"BEL","SOCBENHH","INCASH","PC_GDP","A","1999",14.9777390391387,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2000",14.5222415167699,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2001",14.6745284107396,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2002",15.1747501151851,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2003",15.4170942979415,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2004",15.1689729488979,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2005",15.0554642404663,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2006",14.8478786042814,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2007",14.7847222606207,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2008",15.3711046499562,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2009",16.7970472718205,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2010",16.4449478314292,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2011",16.5430390581321,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2012",16.947640536783,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2013",17.3733710038689,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2014",17.1852687062364,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2015",16.9774807572041,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2016",16.938617408179,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2017",16.8647576916678,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2018",16.8987290536712,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2019",16.9995842185687,
"BEL","SOCBENHH","INKIND","PC_GDP","A","1995",12.7259321266517,
"BEL","SOCBENHH","INKIND","PC_GDP","A","1996",13.2641208920182,
"BEL","SOCBENHH","INKIND","PC_GDP","A","1997",12.8406547925828,
"BEL","SOCBENHH","INKIND","PC_GDP","A","1998",12.9914479945732,
"BEL","SOCBENHH","INKIND","PC_GDP","A","1999",13.0705764078386,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2000",12.9060631165739,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2001",12.9474390252668,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2002",13.3795464251641,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2003",13.7826715628225,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2004",13.6941045355143,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2005",13.6058336150196,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2006",13.5245262592976,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2007",13.3710340147181,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2008",14.1497303003243,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2009",15.160786070364,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2010",14.9321983443855,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2011",15.2822395960505,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2012",15.4081041559688,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2013",15.51326104663,
"BEL","SOCBENHH","INKIND","PC_GDP","A","2014",15.4625036569179,
