"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1965",2.366,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1966",2.351,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1967",2.455,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1968",2.474,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1969",2.448,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1970",2.317,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1971",2.217,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1972",2.324,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1973",2.217,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1974",2.084,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1975",2.245,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1976",2.239,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1977",2.181,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1978",2.061,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1979",2.023,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1980",2.041,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1981",1.919,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1982",1.944,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1983",2.068,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1984",2.151,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1985",2.174,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1986",2.303,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1987",2.622,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1988",2.744,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1989",2.474,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1990",2.516,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1991",2.607,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1992",2.615,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1993",2.734,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1994",2.555,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1995",2.489,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1996",2.6,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1997",2.636,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1998",2.649,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","1999",2.743,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2000",2.67,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2001",2.546,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2002",2.674,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2003",2.833,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2004",2.631,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2005",2.577,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2006",2.698,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2007",2.646,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2008",2.216,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2009",2.454,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2010",2.367,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2011",2.242,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2012",2.346,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2013",2.563,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2014",2.788,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2015",2.986,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2016",2.98,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2017",2.951,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1965",11.465,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1966",11.839,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1967",12.013,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1968",12.145,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1969",11.82,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1970",10.98,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1971",10.144,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1972",10.854,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1973",9.853,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1974",8.459,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1975",8.849,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1976",8.761,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1977",8.579,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1978",8.402,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1979",8.046,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1980",7.786,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1981",7.274,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1982",7.238,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1983",7.919,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1984",7.765,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1985",7.831,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1986",8.071,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1987",9.153,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1988",9.697,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1989",8.831,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1990",8.95,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1991",9.775,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1992",10.005,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1993",10.275,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1994",9.288,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1995",8.799,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1996",8.989,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1997",9.197,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1998",9.001,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1999",9.202,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2000",8.766,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2001",8.802,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2002",8.973,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2003",9.455,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2004",8.691,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2005",8.598,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2006",9.181,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2007",8.965,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2008",8.262,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2009",9.61,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2010",9.366,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2011",8.659,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2012",8.718,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2013",9.453,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2014",10.223,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2015",10.713,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2016",10.796,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",10.344,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1965",1.33,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1966",1.342,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1967",1.353,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1968",1.318,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1969",1.37,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1970",1.255,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1971",1.194,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1972",1.122,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1973",1.057,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1974",1.008,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1975",1.127,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1976",1.13,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1977",1.083,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1978",1.177,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1979",1.136,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1980",1.112,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1981",1.134,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1982",1.055,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1983",1.06,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1984",1.043,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1985",0.988,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1986",0.954,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1987",0.9,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1988",1.024,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1989",1.035,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1990",1.071,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1991",1.089,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1992",1.118,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1993",1.083,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1994",0.654,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1995",0.612,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1996",0.607,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1997",0.576,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1998",0.572,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","1999",0.573,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2000",0.565,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2001",0.57,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2002",0.532,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2003",0.545,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2004",0.54,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2005",0.541,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2006",0.564,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2007",0.554,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2008",0.522,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2009",0.525,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2010",0.525,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2011",0.508,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2012",0.554,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2013",0.723,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2014",0.597,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2015",0.571,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2016",0.548,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2017",0.525,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2018",0.545,
"AUT","TAXPROPERTY","TOT","PC_TOT_TAX","A","1965",3.968,
"AUT","TAXPROPERTY","TOT","PC_TOT_TAX","A","1966",3.925,
"AUT","TAXPROPERTY","TOT","PC_TOT_TAX","A","1967",3.968,
"AUT","TAXPROPERTY","TOT","PC_TOT_TAX","A","1968",3.859,
"AUT","TAXPROPERTY","TOT","PC_TOT_TAX","A","1969",3.959,
"AUT","TAXPROPERTY","TOT","PC_TOT_TAX","A","1970",3.737,
"AUT","TAXPROPERTY","TOT","PC_TOT_TAX","A","1971",3.485,
"AUT","TAXPROPERTY","TOT","PC_TOT_TAX","A","1972",3.235,
"AUT","TAXPROPERTY","TOT","PC_TOT_TAX","A","1973",3.032,
